0|-1|-1|-1|-1|-1|31|103|21|117|-1|-1|-1|105|-1|100|-1|-1|-1|72|-1
1|-1|-1|-1|-1|-1|-1|-1|-1|-1|33|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
2|-1|-1|-1|18|-1|-1|-1|-1|41|41|-1|-1|-1|-1|-1|-1|52|33|-1|-1
3|-1|-1|18|-1|-1|-1|-1|-1|31|35|62|-1|-1|-1|-1|-1|-1|23|33|-1
4|-1|-1|-1|-1|-1|47|-1|-1|67|-1|-1|29|-1|-1|-1|-1|94|76|-1|53
5|31|-1|-1|-1|47|-1|-1|-1|20|-1|-1|37|-1|-1|91|-1|-1|-1|-1|-1
6|103|-1|-1|-1|-1|-1|-1|124|-1|-1|-1|35|-1|94|19|-1|-1|-1|-1|-1
7|21|-1|-1|-1|-1|-1|124|-1|-1|-1|-1|-1|99|-1|98|-1|-1|89|66|-1
8|117|-1|41|31|67|20|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|93|23|21|92
9|-1|33|41|35|-1|-1|-1|-1|-1|-1|27|-1|37|-1|-1|-1|-1|-1|-1|-1
10|-1|-1|-1|62|-1|-1|-1|-1|-1|27|-1|-1|10|-1|-1|-1|-1|-1|29|-1
11|-1|-1|-1|-1|29|37|35|-1|-1|-1|-1|-1|-1|129|54|-1|-1|-1|-1|-1
12|105|-1|-1|-1|-1|-1|-1|99|-1|37|10|-1|-1|-1|-1|-1|-1|-1|-1|-1
13|-1|-1|-1|-1|-1|-1|94|-1|-1|-1|-1|129|-1|-1|-1|-1|-1|-1|-1|51
14|100|-1|-1|-1|-1|91|19|98|-1|-1|-1|54|-1|-1|-1|-1|-1|-1|-1|-1
15|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|65|-1|-1|49
16|-1|-1|52|-1|94|-1|-1|-1|93|-1|-1|-1|-1|-1|-1|65|-1|67|-1|41
17|-1|-1|33|23|76|-1|-1|89|23|-1|-1|-1|-1|-1|-1|-1|67|-1|-1|69
18|72|-1|-1|33|-1|-1|-1|66|21|-1|29|-1|-1|-1|-1|-1|-1|-1|-1|-1
19|-1|-1|-1|-1|53|-1|-1|-1|92|-1|-1|-1|-1|51|-1|49|41|69|-1|-1
